Num,Action,Dialogues,Function,n,l,ml,n2,l2,ml2,Plane,Wait
1,Dialogue,"This is a 1-dimensional, or 1D wave. Specifically, a sine wave.",,,,,,,,,
2,Function,,W1D,,,,,,,,
3,Next,,,,,,,,,,
4,Dialogue,"It is a line that has ups and downs and places where it is neither, or nodes.",,,,,,,,,
5,Next,,,,,,,,,,
6,Destroy,,W1D,,,,,,,,
7,Dialogue,"How about a 2D wave, like a ripple on a pond?",,,,,,,,,
8,Function,,W2D,,,,,,,,
9,Next,,,,,,,,,,
10,Dialogue,"It’s the same ups and downs, but in a plane instead of a line.",,,,,,,,,
11,Next,,,,,,,,,,
12,Destroy,,W2D,,,,,,,,
13,Dialogue,"3D waves are essentially the same, but they exist in space, not a plane or a line.",,,,,,,,,
14,Function,,W3D,,,,,,,,
15,Next,,,,,,,,,,
16,Dialogue,"Since it’s difficult to express the ups and downs as in 1D and 2D, the boundaries express points with certain absolute values or above.",,,,,,,,,
