Dialogue Num,Dialogues,Destroy Index,Destroy,Function Num,Function Index,Function,Orbital Index,n,l,ml,Plane
0,This is an orbital. The electron exists as a 3D wave.,1,ORB,0,0,ORB,0,1,0,0,XZ
1,What you’re seeing is 90% of the wave. The wave extends outside the boundary.,3,CS,1,1,CS,1,1,0,0,XZ
2,"The color represents the strength of the wave. Inside the boundary, the wave is the strongest.",3,CS90B,2,1,CS90B,2,1,0,0,
3,"Hydrogen has multiple orbitals. That is, multiple possible shapes and sizes of electron waves.",,,3,3,OV,3,1,0,0,
4,This is the modern atomic model.,,,,,,3,2,0,0,
,,,,,,,3,2,1,-1,
,,,,,,,3,2,1,0,
,,,,,,,3,2,1,1,
,,,,,,,3,3,0,0,
,,,,,,,3,3,1,-1,
,,,,,,,3,3,1,0,
,,,,,,,3,3,1,1,
,,,,,,,3,3,2,-2,
,,,,,,,3,3,2,-1,
,,,,,,,3,3,2,0,
,,,,,,,3,3,2,1,
,,,,,,,3,3,2,2,
