Num,Action,Dialogues,Function,n,l,ml,n2,l2,ml2,Plane,Wait
1,Dialogue,Orbitals come in many shapes.,,,,,,,,,
2,Function,,ORB,1,0,0,,,,,
3,Wait,,,,,,,,,,2
4,Destroy,,ORB,,,,,,,,
5,Function,,ORB,2,1,0,,,,,
6,Wait,,,,,,,,,,2
7,Destroy,,ORB,,,,,,,,
8,Function,,ORB,3,2,-2,,,,,
9,Next,,,,,,,,,,
10,Dialogue,Some orbitals have “angular nodes.” These are planes where the wave function becomes 0.,,,,,,,,,
11,Destroy,,ORB,,,,,,,,
12,Function,,ORB,2,1,0,,,,,
13,Function,,AN,2,1,0,,,,,
14,Next,,,,,,,,,,
15,Dialogue,It can also appear as cones.,,,,,,,,,
16,Destroy,,ORB,,,,,,,,
17,Destroy,,AN,,,,,,,,
18,Function,,ORB,3,2,0,,,,,
19,Function,,AN,3,2,0,,,,,
20,Next,,,,,,,,,,
21,Dialogue,"The number of angular nodes is the azimuthal quantum number, l.",,,,,,,,,
22,Destroy,,ORB,,,,,,,,
23,Destroy,,AN,,,,,,,,
24,Function,,ORB,3,1,0,,,,,
25,Function,,AN,3,1,0,,,,,
26,Next,,,,,,,,,,
27,Dialogue,"Then, the number of radial nodes would be n - l - 1 since the sum of angular and radial nodes need to be n - 1.",,,,,,,,,
28,Function,,RN,3,1,0,,,,,
