Num,Action,Dialogues,Function,n,l,ml,n2,l2,ml2,Plane,Wait
1,Dialogue,"In hydrogen, orbitals have different energies depending on their n. The higher the n, the higher the energy.",,,,,,,,,
2,Function,,ORB,1,0,0,,,,,
3,Next,,,,,,,,,,
4,Dialogue,"These energies are quantized, or not continuous.",,,,,,,,,
5,Next,,,,,,,,,,
6,Dialogue,Light is a form of energy.,,,,,,,,,
7,Next,,,,,,,,,,
8,Dialogue,"When the electron receives light, it can transform from a wave with a lower n to one with a higher n.",,,,,,,,,
9,Destroy,,ORB,,,,,,,,
10,Function,,TRAN,1,0,0,2,1,0,,
11,Next,,,,,,,,,,
12,Dialogue,Look at l. Transitions can happen only when the two ls have a difference of 1.,,,,,,,,,
13,Next,,,,,,,,,,
14,Dialogue,"In other words, an angular node must appear or disappear.",,,,,,,,,
15,Destroy,,TRAN,,,,,,,,
16,Function,,ORB,1,0,0,,,,,
17,Wait,,,,,,,,,,1.5
18,Destroy,,ORB,,,,,,,,
19,Function,,ORB,2,1,0,,,,,
20,Function,,AN,2,1,0,,,,,
21,Next,,,,,,,,,,
22,Dialogue,"Now, let’s look at a different transformation.",,,,,,,,,
23,Destroy,,ORB,,,,,,,,
24,Destroy,,AN,,,,,,,,
25,Function,,TRAN,3,0,0,2,1,0,,
26,Next,,,,,,,,,,
27,Dialogue,"It’s going from a higher n to a lower n. This means that it will release energy, in the form of light, instead of receiving.",,,,,,,,,
28,Next,,,,,,,,,,
29,Dialogue,The emission and absorption spectra are from these transformations.,,,,,,,,,
